speech_id,person_id,surname
2924717,34564,missal
2924718,2367,baldwin
2924719,34564,missal
2924720,24982,johnson
2924721,24982,johnson
2924722,34564,missal
2924723,31606,gibson
2924724,31606,gibson
2924725,24982,johnson
2924726,31606,gibson
2924727,31606,gibson
2924728,31606,gibson
2924729,31606,gibson
2924730,31606,gibson
2924731,31606,gibson
2924732,24982,johnson
2924733,2367,baldwin
2924734,24982,johnson
2924735,31606,gibson
2924736,24982,johnson
2924737,31606,gibson
2924738,24982,johnson
2924739,31606,gibson
2924740,24982,johnson
2924741,24982,johnson
2924742,24982,johnson
2924743,24982,johnson
2924744,2367,baldwin
2924745,31606,gibson
2924746,2367,baldwin
2924747,24982,johnson
2924748,34564,missal
2924749,24982,johnson
2924750,2367,baldwin
2924751,31606,gibson
2924752,2367,baldwin
2924753,31606,gibson
2924754,34564,missal
2924755,2367,baldwin
2924756,34564,missal
2924757,31606,gibson
2924758,24982,johnson
2924759,31606,gibson
2924760,24982,johnson
2924761,31606,gibson
2924762,31606,gibson
2924763,31606,gibson
2924764,31606,gibson
2924765,31606,gibson
2924766,31606,gibson
2924767,31606,gibson
2924768,31606,gibson
2924769,31606,gibson
2924770,31606,gibson
2924771,31606,gibson
2924772,31606,gibson
2924773,24982,johnson
2924774,31606,gibson
2924775,31606,gibson
2924776,31606,gibson
2924777,31606,gibson
2924778,31606,gibson
2924779,24982,johnson
2924780,24982,johnson
2924781,24982,johnson
2924782,24982,johnson
2924783,24982,johnson
2924784,34565,breuer
2924785,24982,johnson
2924786,34566,vebber
2924787,24982,johnson
2924788,34567,holte
2924789,24982,johnson
2924790,34568,schienebeck
2924791,34569,ramme
2924792,24982,johnson
2924793,34570,meyer
2924794,24982,johnson
2924795,34570,meyer
2924796,24982,johnson
2924797,34570,meyer
2924798,24982,johnson
2924799,34570,meyer
2924800,24982,johnson
2924801,34570,meyer
2924802,24982,johnson
2924803,34570,meyer
2924804,24982,johnson
2924805,34565,breuer
2924806,24982,johnson
